QTD;UNIDADE;VAGAS;CNPJ;APP Omie;SUPERVISOR;ADMINISTRADORA;ENDEREÇO;BAIRRO;REGIÃO;CIDADE;ESTADO;;SISTEMA;PREVISÃO;SERVIÇOS;;;;;;OPERAÇÃO;SERVIDORES;INTERNET;ACESSO REMOTO;PARKAWARE;STATUS;Ult_DT;INTERNET
1;ACYR ANDRADE;90;16.870.311/0050-20;PCO - Filial;GUILHERME;HERSIL;Rua Joaquim Floriano, 620 - Itaim Bibi, São Paulo - SP, 04534-002;Itaim Bibi;Sul;São Paulo;SP;;KAPATRON;;;;;;;;Automatizado;1º Subsolo;;;Implantada;;;4G
2;ALIANÇA;180;45.037.347/0001-47;CORP - Matriz;ANDRÉ MOURA;BARZEL;Rua Verbo Divino,1551 - Chácara Santo Antônio, São Paulo - SP;Berrini;Sul;São Paulo;SP;;WPS;;ENTERPRISE RELATORIO AUTOMATIZADO;x;x;WPS PAY FULL;x;x;;;;;Implantada;aprovado;;4G
3;AQWA RJ;200;16.870.311/0076-69;PCO - Filial;ELTON  ;TISHMAN;Avenida Oscar Niemeyer, 2000 - Rio de Janeiro;RJ;RJ;RJ;RJ;;WPS;;ENTERPRISE RELATORIO AUTOMATIZADO;ENTERPRISE BI;ENTERPRISE MOBILE;WPS PAY (ADICIONADO AO MOBILE);APP LOJISTA;x;;;;;Pendente;Projetos pendentes de aprovação;;fixa dedicado
4;ATRIUM II;45;16.870.311/0034-00;PCO - Filial;LUIZ CARLOS;JLL;Rua Helena, 235 - São Paulo;Vila Olimpia;Sul;São Paulo;SP;;LINK;;;;;;;;Automatizado;Térreo;;;Implantada;;;4G
5;ATRIUM III;48;16.870.311/0053-72;PCO - Filial;LUIZ CARLOS;HERSIL;Rua do Rocio, 291 - São Paulo;Vila Olimpia;Sul;São Paulo;SP;;SKIDATA;;;;;;;;Automatizado;1º Subsolo;Própria;Enterprise;Pendente;N temos pedido de projeto;;Não possui 
6;ATRIUM IV;97;16.870.311/0035-90;PCO - Filial;LUIZ CARLOS;HERSIL;Rua Helena, 260 - São Paulo;Vila Olimpia;Sul;São Paulo;SP;;LINK;;;;;;;;Automatizado;1º Subsolo;Compartilhada;;Implantada;;;4G
7;ATRIUM JARDINS;50;16.870.311/0049-96;PCO - Filial;GRACILIANO;HERSIL;Rua Artur de Azevedo, 520 / 532 - Pinheiros, São Paulo - SP, 05404-001;Pinheiros;Oeste;São Paulo;SP;;WPS;;ENTERPRISE RELATORIO AUTOMATIZADO;x;x;x;x;x;Automatizado;1º Subsolo;;;Implantada;;;fixa
8;ATRIUM VI ;40;16.870.311/0005-75;PCO - Filial;LUIZ CARLOS;JLL;Rua Gomes de Carvalho, 1510 - São Paulo;Vila Olimpia;Sul;São Paulo;SP;;KAPATRON;;;;;;;;Automatizado;1º Subsolo;;;Implantada;;;4G
9;ATRIUM VIII;60;16.870.311/0023-57;PCO - Filial;LUIZ CARLOS;JLL;Rua Fidencio Ramos, 213 - São Paulo;Vila Olimpia;Sul;São Paulo;SP;;KAPATRON;;;;;;;;Automatizado;Térreo;;;Implantada;;;4G
10;AXIS;150;45.037.347/0024-33;CORP - Filial;JOSÉ PAULO;ARICANDUVA;Avenida Giovanni Gronchi, 7143 - Vila Andrade, São Paulo - SP, 05724-005;Vila Andrade;Sul;São Paulo;SP;;LINK;;;;;;;;;;;;;;;
